"id","pop","loc","city","X_id","state"
"1",15338,"[ -72.622739 , 42.070206]","AGAWAM",1001,"MA"
"2",36963,"[ -72.51565 , 42.377017]","CUSHMAN",1002,"MA"
"3",4546,"[ -72.108354 , 42.409698]","BARRE",1005,"MA"
"4",10579,"[ -72.410953 , 42.275103]","BELCHERTOWN",1007,"MA"
"5",1240,"[ -72.936114 , 42.182949]","BLANDFORD",1008,"MA"
"6",3706,"[ -72.188455 , 42.116543]","BRIMFIELD",1010,"MA"
"7",1688,"[ -72.988761 , 42.279421]","CHESTER",1011,"MA"
"8",177,"[ -72.833309 , 42.38167]","CHESTERFIELD",1012,"MA"
"9",23396,"[ -72.607962 , 42.162046]","CHICOPEE",1013,"MA"
"10",31495,"[ -72.576142 , 42.176443]","CHICOPEE",1020,"MA"
"11",1764,"[ -72.558657 , 42.196672]","WESTOVER AFB",1022,"MA"
"12",1484,"[ -72.905767 , 42.435296]","CUMMINGTON",1026,"MA"
"13",16864,"[ -72.679921 , 42.264319]","MOUNT TOM",1027,"MA"
"14",13367,"[ -72.505565 , 42.067203]","EAST LONGMEADOW",1028,"MA"
"15",11985,"[ -72.675077 , 42.07182]","FEEDING HILLS",1030,"MA"
"16",2385,"[ -72.198585 , 42.332194]","GILBERTVILLE",1031,"MA"
"17",122,"[ -72.844092 , 42.466234]","GOSHEN",1032,"MA"
"18",5526,"[ -72.520001 , 42.255704]","GRANBY",1033,"MA"
"19",1652,"[ -72.908793 , 42.070234]","TOLLAND",1034,"MA"
"20",4231,"[ -72.571499 , 42.36062]","HADLEY",1035,"MA"
"21",4709,"[ -72.431823 , 42.064756]","HAMPDEN",1036,"MA"
"22",3184,"[ -72.616735 , 42.38439]","HATFIELD",1038,"MA"
"23",1387,"[ -72.703178 , 42.381799]","HAYDENVILLE",1039,"MA"
"24",43704,"[ -72.626193 , 42.202007]","HOLYOKE",1040,"MA"
"25",2084,"[ -72.873341 , 42.265301]","HUNTINGTON",1050,"MA"
"26",1350,"[ -72.703403 , 42.354292]","LEEDS",1053,"MA"
"27",1748,"[ -72.499334 , 42.46823]","LEVERETT",1054,"MA"
"28",18820,"[ -72.471012 , 42.172823]","LUDLOW",1056,"MA"
"29",8194,"[ -72.319634 , 42.101017]","MONSON",1057,"MA"
"30",27939,"[ -72.654245 , 42.324662]","FLORENCE",1060,"MA"
"31",1503,"[ -72.051265 , 42.348033]","OAKHAM",1068,"MA"
"32",9778,"[ -72.328785 , 42.176233]","PALMER",1069,"MA"
"33",571,"[ -72.918289 , 42.514393]","PLAINFIELD",1070,"MA"
"34",608,"[ -72.840343 , 42.147063]","RUSSELL",1071,"MA"
"35",1533,"[ -72.421342 , 42.481968]","SHUTESBURY",1072,"MA"
"36",4478,"[ -72.719381 , 42.224697]","SOUTHAMPTON",1073,"MA"
"37",16699,"[ -72.581137 , 42.237537]","SOUTH HADLEY",1075,"MA"
"38",7667,"[ -72.770588 , 42.051099]","SOUTHWICK",1077,"MA"
"39",2425,"[ -72.362352 , 42.181894]","THREE RIVERS",1080,"MA"
"40",1732,"[ -72.204592 , 42.062734]","WALES",1081,"MA"
"41",9808,"[ -72.258285 , 42.261831]","WARE",1082,"MA"
"42",40117,"[ -72.754318 , 42.129484]","MONTGOMERY",1085,"MA"
"43",27537,"[ -72.641109 , 42.115066]","WEST SPRINGFIELD",1089,"MA"
"44",4441,"[ -72.203639 , 42.20734]","WEST WARREN",1092,"MA"
"45",12635,"[ -72.446415 , 42.124506]","WILBRAHAM",1095,"MA"
